,시도,군구,시도군구,sub
0,강원도,태백시,강원도 태백시,1
1,경기도,고양시,경기도 고양시,19
2,경기도,광명시,경기도 광명시,3
3,경기도,군포시,경기도 군포시,2
4,경기도,남양주시,경기도 남양주시,1
5,경기도,동두천시,경기도 동두천시,1
6,경기도,부천시,경기도 부천시,12
7,경기도,성남시,경기도 성남시,17
8,경기도,수원시,경기도 수원시,15
9,경기도,시흥시,경기도 시흥시,5
10,경기도,안산시,경기도 안산시,4
11,경기도,안성시,경기도 안성시,1
12,경기도,안양시,경기도 안양시,5
13,경기도,양주시,경기도 양주시,1
14,경기도,오산시,경기도 오산시,1
15,경기도,용인시,경기도 용인시,11
16,경기도,의왕시,경기도 의왕시,1
17,경기도,의정부시,경기도 의정부시,1
18,경기도,평택시,경기도 평택시,3
19,경기도,하남시,경기도 하남시,1
20,경기도,화성시,경기도 화성시,14
21,경상남도,거제시,경상남도 거제시,2
22,경상남도,거창군,경상남도 거창군,1
23,경상남도,김해시,경상남도 김해시,8
24,경상남도,양산시,경상남도 양산시,4
25,경상남도,진주시,경상남도 진주시,5
26,경상남도,창원시,경상남도 창원시,11
27,경상남도,통영시,경상남도 통영시,2
28,경상북도,경산시,경상북도 경산시,3
29,경상북도,포항시,경상북도 포항시,1
30,광주광역시,광산구,광주광역시 광산구,4
31,광주광역시,남구,광주광역시 남구,2
32,광주광역시,동구,광주광역시 동구,1
33,광주광역시,북구,광주광역시 북구,4
34,광주광역시,서구,광주광역시 서구,3
35,대구광역시,남구,대구광역시 남구,1
36,대구광역시,달서구,대구광역시 달서구,4
37,대구광역시,달성군,대구광역시 달성군,2
38,대구광역시,동구,대구광역시 동구,4
39,대구광역시,북구,대구광역시 북구,3
40,대구광역시,서구,대구광역시 서구,2
41,대구광역시,수성구,대구광역시 수성구,3
42,대구광역시,중구,대구광역시 중구,3
43,대전광역시,대덕구,대전광역시 대덕구,2
44,대전광역시,동구,대전광역시 동구,2
45,대전광역시,서구,대전광역시 서구,8
46,대전광역시,유성구,대전광역시 유성구,7
47,대전광역시,중구,대전광역시 중구,3
48,부산광역시,강서구,부산광역시 강서구,3
49,부산광역시,금정구,부산광역시 금정구,4
50,부산광역시,기장군,부산광역시 기장군,1
51,부산광역시,남구,부산광역시 남구,4
52,부산광역시,동구,부산광역시 동구,3
53,부산광역시,동래구,부산광역시 동래구,2
54,부산광역시,부산진구,부산광역시 부산진구,5
55,부산광역시,북구,부산광역시 북구,2
56,부산광역시,사상구,부산광역시 사상구,2
57,부산광역시,사하구,부산광역시 사하구,2
58,부산광역시,서구,부산광역시 서구,1
59,부산광역시,수영구,부산광역시 수영구,2
60,부산광역시,연제구,부산광역시 연제구,5
61,부산광역시,영도구,부산광역시 영도구,1
62,부산광역시,중구,부산광역시 중구,3
63,부산광역시,해운대구,부산광역시 해운대구,6
64,서울특별시,강남구,서울특별시 강남구,16
65,서울특별시,강동구,서울특별시 강동구,8
66,서울특별시,강북구,서울특별시 강북구,4
67,서울특별시,강서구,서울특별시 강서구,5
68,서울특별시,관악구,서울특별시 관악구,5
69,서울특별시,광진구,서울특별시 광진구,9
70,서울특별시,구로구,서울특별시 구로구,4
71,서울특별시,금천구,서울특별시 금천구,2
72,서울특별시,노원구,서울특별시 노원구,4
73,서울특별시,도봉구,서울특별시 도봉구,2
74,서울특별시,동대문구,서울특별시 동대문구,4
75,서울특별시,동작구,서울특별시 동작구,4
76,서울특별시,마포구,서울특별시 마포구,12
77,서울특별시,서대문구,서울특별시 서대문구,9
78,서울특별시,서초구,서울특별시 서초구,7
79,서울특별시,성동구,서울특별시 성동구,6
80,서울특별시,성북구,서울특별시 성북구,7
81,서울특별시,송파구,서울특별시 송파구,7
82,서울특별시,양천구,서울특별시 양천구,6
83,서울특별시,영등포구,서울특별시 영등포구,9
84,서울특별시,용산구,서울특별시 용산구,6
85,서울특별시,은평구,서울특별시 은평구,5
86,서울특별시,종로구,서울특별시 종로구,10
87,서울특별시,중구,서울특별시 중구,11
88,서울특별시,중랑구,서울특별시 중랑구,5
89,세종특별자치시,세종시,세종특별자치시 세종시,1
90,세종특별자치시,절재로,세종특별자치시 절재로,1
91,울산광역시,남구,울산광역시 남구,6
92,울산광역시,동구,울산광역시 동구,1
93,울산광역시,북구,울산광역시 북구,2
94,울산광역시,울주군,울산광역시 울주군,2
95,울산광역시,중구,울산광역시 중구,1
96,인천광역시,계양구,인천광역시 계양구,2
97,인천광역시,남동구,인천광역시 남동구,6
98,인천광역시,미추홀구,인천광역시 미추홀구,3
99,인천광역시,부평구,인천광역시 부평구,8
100,인천광역시,연수구,인천광역시 연수구,5
101,인천광역시,중구,인천광역시 중구,1
102,전라남도,나주시,전라남도 나주시,1
103,전라남도,목포시,전라남도 목포시,1
104,전라남도,무안군,전라남도 무안군,1
105,전라북도,군산시,전라북도 군산시,1
106,전라북도,전주시,전라북도 전주시,2
107,제주특별자치도,제주시,제주특별자치도 제주시,3
108,충청남도,공주시,충청남도 공주시,1
109,충청남도,논산시,충청남도 논산시,1
110,충청남도,당진시,충청남도 당진시,1
111,충청남도,서산시,충청남도 서산시,1
112,충청남도,아산시,충청남도 아산시,3
113,충청남도,천안시,충청남도 천안시,9
114,충청북도,청주시,충청북도 청주시,2
